Fri Jul 31 19:11:54 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 17557, 'Left_wheel_dist': 3986, 'Right_wheel_dist': 3992, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 5.78, 'IMU_Acc_x': 1.25, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 8.97}
{'Time': 17652, 'Left_wheel_dist': 4034, 'Right_wheel_dist': 4038, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 5.94, 'IMU_Acc_x': 1.29, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 8.57}
{'Time': 17759, 'Left_wheel_dist': 4088, 'Right_wheel_dist': 4088, 'IMU_roll': 0.01, 'IMU_pitch': 0.12, 'IMU_yaw': 6.12, 'IMU_Acc_x': 1.20, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 9.23}
{'Time': 17856, 'Left_wheel_dist': 4136, 'Right_wheel_dist': 4140, 'IMU_roll': 0.01, 'IMU_pitch': 0.12, 'IMU_yaw': 0.01, 'IMU_Acc_x': 1.19, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.88}
{'Time': 17953, 'Left_wheel_dist': 4184, 'Right_wheel_dist': 4193, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 0.18, 'IMU_Acc_x': 1.43, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 8.98}
{'Time': 18052, 'Left_wheel_dist': 4234, 'Right_wheel_dist': 4243, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 0.37, 'IMU_Acc_x': 1.37, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.11}
{'Time': 18158, 'Left_wheel_dist': 4289, 'Right_wheel_dist': 4297, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 0.57, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 10.00}
{'Time': 18254, 'Left_wheel_dist': 4337, 'Right_wheel_dist': 4356, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 0.76, 'IMU_Acc_x': 1.44, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 11.66}
{'Time': 18352, 'Left_wheel_dist': 4385, 'Right_wheel_dist': 4413, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 0.95, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': -0.84, 'IMU_Acc_z': 8.44}
{'Time': 18458, 'Left_wheel_dist': 4435, 'Right_wheel_dist': 4467, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 1.15, 'IMU_Acc_x': 1.60, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 7.18}
{'Time': 18555, 'Left_wheel_dist': 4483, 'Right_wheel_dist': 4522, 'IMU_roll': 0.04, 'IMU_pitch': 0.15, 'IMU_yaw': 1.33, 'IMU_Acc_x': 2.20, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 10.49}
{'Time': 18653, 'Left_wheel_dist': 4529, 'Right_wheel_dist': 4579, 'IMU_roll': 0.05, 'IMU_pitch': 0.15, 'IMU_yaw': 1.52, 'IMU_Acc_x': 1.80, 'IMU_Acc_y': 0.49, 'IMU_Acc_z': 10.65}
{'Time': 18759, 'Left_wheel_dist': 4581, 'Right_wheel_dist': 4635, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 1.72, 'IMU_Acc_x': 1.94, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.98}
{'Time': 18855, 'Left_wheel_dist': 4627, 'Right_wheel_dist': 4688, 'IMU_roll': 0.04, 'IMU_pitch': 0.18, 'IMU_yaw': 1.89, 'IMU_Acc_x': 2.10, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 6.99}
{'Time': 18953, 'Left_wheel_dist': 4677, 'Right_wheel_dist': 4749, 'IMU_roll': 0.04, 'IMU_pitch': 0.19, 'IMU_yaw': 2.06, 'IMU_Acc_x': 1.98, 'IMU_Acc_y': 0.41, 'IMU_Acc_z': 9.01}
{'Time': 19059, 'Left_wheel_dist': 4727, 'Right_wheel_dist': 4810, 'IMU_roll': 0.04, 'IMU_pitch': 0.18, 'IMU_yaw': 2.24, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 10.01}
{'Time': 19155, 'Left_wheel_dist': 4775, 'Right_wheel_dist': 4860, 'IMU_roll': 0.05, 'IMU_pitch': 0.19, 'IMU_yaw': 2.39, 'IMU_Acc_x': 1.73, 'IMU_Acc_y': 0.53, 'IMU_Acc_z': 7.19}
{'Time': 19252, 'Left_wheel_dist': 4819, 'Right_wheel_dist': 4910, 'IMU_roll': 0.05, 'IMU_pitch': 0.18, 'IMU_yaw': 2.54, 'IMU_Acc_x': 1.60, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 11.15}
{'Time': 19358, 'Left_wheel_dist': 4871, 'Right_wheel_dist': 4971, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 2.73, 'IMU_Acc_x': 1.64, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 10.33}
{'Time': 19453, 'Left_wheel_dist': 4917, 'Right_wheel_dist': 5021, 'IMU_roll': 0.04, 'IMU_pitch': 0.17, 'IMU_yaw': 2.89, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 11.31}
